GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
080411	02h32m04s -71° 20'	3'	Swift	y	y	y	n	 	1.03
080409	05h37m20s +05° 05'	3'	Swift	 	y	 	 	 	 
080408	07h38m43s +33° 18'	3'	AGILE	 	y	y	 	 	 
080405	10h50m23s -04° 15'	3'	Swift	y	y?	 	 	 	 
080330	11h17m12s +30° 34'	3'	Swift	 	y	y	 	 	1.51
080328	05h21m55s +47° 31'	3'	Swift	y	y	y	 	 	 
080325	18h31m35s +36° 31'	3'	Swift	 	y	y	 	 	1.78
080320	11h51m07s +57° 09'	3'	Swift	 	y	y	 	 	<6.4
080319D	06h37m55s +23° 56'	3'	Swift	 	y	y	 	 	 
080319C	17h15m54s +55° 25'	3'	Swift	y	y	y	 	 	1.95
080319B	14h31m42s +36° 18'	3'	Swift	y	y	y	y	 	0.937
080319	13h45m25s +44° 05'	3'	Swift	 	y	y	 	 	2.0265
080315	10h20m44s +41° 44'	3'	Swift	 	 	 	 	 	 
080310	14h40m19s -00° 10'	3'	Swift	 	y	y	 	 	2.42
080307	09h06m32s +35° 10'	3'	Swift	 	y	n	 	 	<6.1
080303	07h28m18s -70° 14'	3'	Swift	 	y	y	n	 	 
080229B	13h16m53s -64° 53'	3'	AGILE	 	 	 	n	 	 
080229	15h12m52s -14° 43'	3'	Swift	 	y	 	n	 	 
080218BX	11h51m48s -53° 06'	3'	Swift	 	y	 	n	 	 
080218	23h43m41s +12° 10'	3'	Swift	 	 	 	 	 	 
080212	15h24m26s -22° 45'	3'	Swift	 	y	y	n	 	<3.5
080211	02h55m52s +60° 02'	65'x6'	IPN	y	 	 	 	 	 
080210	16h45m05s +13° 50'	3'	Swift	 	y	y	n	 	2.641
080207	13h50m03s +07° 31'	3'	Swift	 	y	 	 	 	2.0858
080205	06h32m53s +62° 46'	3'	Swift	 	y	y	n	 	2.72ph
080130	17h26m42s -53° 11'	3'	Swift	 	y	 	n	 	 
080129	07h01m07s -07° 50'	3'	Swift	 	y	y	 	 	4.349
080123S	22h35m43s -64° 53'	3'	Swift	y	y	 	 	 	0.495?
080122	12h45m24s +27° 01'	100'*10'	IPN	y	 	 	 	 	 
080121	09h08m56s +41° 50'	3'	Swift	 	 	 	 	 	 
080120	15h01m09s -10° 54'	3.1'	INTEGRAL	 	y	y	n	 	 
071227S	03h52m29s -55° 57'	3'	Swift	y	y	y	 	 	0.383
071129	14h40m22s -26° 42'	3'	Swift	 	 	 	 	 	 
071122	18h26m20s +47° 04'	3'	Swift	 	y	y	y	 	1.14
071118	19h59m16s +70° 06'	3'	Swift	 	y	y	 	 	 
071117	22h20m38s -63° 26'	3'	Swift	y	y	y	 	 	1.331
071112C	02h36m53s +28° 23'	3'	Swift	 	y	y	n	 	0.823
071112B	17h21m13s -80° 53'	3'	Swift	 	n	 	 	 	 
071109	19h19m39s +02° 03'	3'	INTEGRAL	 	 	 	y?	 	 
071104	19h42m24s +14° 39'	8'	AGILE	 	y	y	 	 	 
071101	03h12m46s +62° 28'	3'	Swift	 	y	 	 	 	 
071031	00h25m50s -58° 03'	3'	Swift	 	y	y	 	 	2.692
071028B	23h36m39s -31° 38'	3'	Swift	 	y	 	 	 	 
071028	07h59m23s +21° 30'	3'	Swift	 	y	 	 	 	 
071025	23h40m20s +31° 45'	3'	Swift	 	y	y	 	 	5.2
071021	22h42m33s +23° 40'	3'	Swift	 	y	 	 	 	2.4520
071020	07h58m39s +32° 52'	3'	Swift	y	y	y	y	 	2.145
071018	10h58m42s +53° 50'	3'	Swift	 	 	 	n	 	 
071013	18h38m06s +33° 51'	3'	Swift	 	 	 	 	 	 
071011	00h33m36s +61° 04'	3'	Swift	 	y	y	n	 	 
071010C	22h32m13s +66° 10'	3'	Swift	 	 	 	 	 	 
071010B	10h02m07s +45° 44'	3'	Swift	y	y	y	y	 	0.947
071010	19h12m24s -32° 23'	3'	Swift	 	y	y	n	 	0.98
071008	10h06m11s +44° 20'	3'	Swift	 	y	 	 	 	 
071006	22h21m07s -23° 09'	3'	Swift	y	 	 	 	 	 
071003	20h07m25s +10° 58'	3'	Swift	y	y	y	y	 	1.60435
071001	09h59m04s -59° 45'	3'	Swift	 	y	 	 	 	 
070925	16h52m45s -22° 01'	3'	INTEGRAL	 	y	 	 	 	 
070923	12h18m30s -38° 16'	3'	Swift	 	 	 	n	 	 
070920B	00h00m35s -34° 49'	3'	Swift	 	 	 	 	 	 
070920	06h43m44s +72° 14'	3'	Swift	 	 	 	 	 	 
070917	19h35m42s +02° 25'	3'	Swift	y	y	y	 	 	 
070913	15h15m20s -24° 20'	10'	Swift	 	y	y	 	 	 
070911	01h43m12s -33° 28'	4'	Swift	y	y	y	 	 	 
070810B	00h35m46s +08° 50'	3'	Swift	 	 	 	 	 	 
070810	12h39m53s +10° 44'	3'	Swift	 	y	y	 	 	2.17
070809S	13h35m08s -22° 08'	3'	Swift	 	y	y	 	 	0.2187?
070808	00h27m04s +01° 10'	3'	Swift	 	y	 	 	 	<2.2
070805	16h20m10s -59° 57'	3'	Swift	 	 	 	 	 	 
070802	02h27m24s -55° 32'	3'	Swift	 	y	y	 	 	2.45
070731	21h54m17s -15° 45'	3'	Swift	 	 	 	 	 	 
070729	03h45m17s -35° 19'	3'	Swift	y	y	 	 	 	 
070724B	01h10m31s +57° 40'	20'	AGILE	y	y	 	n	 	 
070724S	01h51m16s -18° 37'	3'	Swift	 	y	 	 	 	0.457
070721B	02h12m31s -02° 11'	3'	Swift	 	y	y	n	 	3.626
070721X	00h12m42s -28° 33'	3'	Swift	 	y	y	 	 	 
070714BS	03h51m25s +28° 18'	3'	Swift	y	y	y	n	 	0.92
070714X	02h51m44s +30° 14'	3'	Swift	 	y	 	 	 	1.58
070707S	17h51m23s -68° 54'	3'	INTEGRAL	y	y	y	 	 	 
070704	23h38m54s +66° 15'	3'	Swift	y	y	 	 	 	 
070628	07h41m08s -20° 17'	3'	Swift	 	y	y	 	 	 
070621	21h35m13s -24° 48'	3'	Swift	 	y	 	 	 	<5.5
070616	02h08m37s +56° 57'	3'	Swift	 	y	y	 	 	 
070615	02h57m12s -04° 24'	3'	INTEGRAL	 	 	 	 	 	 
070612B	17h26m51s -08° 43'	3'	Swift	 	y	 	 	 	 
070612	08h05m32s +37° 16'	3'	Swift	 	 	y	y	 	0.617
070611	00h07m57s -29° 45'	3'	Swift	 	y	y	 	 	2.04
070531	00h26m43s +74° 18'	3'	Swift	 	y	 	 	 	 
070529	18h55m00s +20° 38'	3'	Swift	 	y	y	 	 	2.4996
070521	16h10m41s +30° 14'	3'	Swift	y	y	 	 	 	2.0865
070520B	08h07m48s +57° 37'	3'	Swift	 	y	 	 	 	 
070520	12h53m16s +75° 00'	3'	Swift	 	y	 	 	 	 
070518	16h56m54s +55° 18'	3'	Swift	 	y	y	n	 	1.161?
070517	18h30m19s -62° 20'	3'	Swift	 	y	y	 	 	 
070509	15h51m42s -78° 41'	3'	Swift	 	y	 	 	 	 
070508	20h51m08s -78° 22'	3'	Swift	y	y	y	 	 	<3.0
070506	23h08m52s +10° 44'	3'	Swift	 	y	y	 	 	2.31
070429BS	21h52m06s -38° 51'	3'	Swift	 	y	 	n	 	0.904?
070429	19h50m45s -32° 23'	3'	Swift	 	y	 	 	 	 
070427	01h55m27s -27° 38'	3'	Swift	 	 	 	 	 	 
070420	08h05m01s -45° 34'	3'	Swift	y	y	y	 	 	 
070419B	21h02m52s -31° 16'	3'	Swift	y	y	y	 	 	1.9591
070419	12h10m51s +39° 54'	3'	Swift	 	y	y	 	 	0.97
070412	12h06m01s +40° 06'	3'	Swift	 	y	n	 	 	 
070411	07h09m21s +01° 05'	3'	Swift	 	y	y	 	 	2.954
070406S	13h15m49s +16° 32'	3'	Swift	 	n	 	 	 	 
070402	20h44m44s +27° 24'	80'*15'	IPN	y	 	 	 	 	 
070330	17h58m05s -63° 47'	3'	Swift	 	y	y	 	 	<5.5
070328	04h20m28s -34° 04'	3'	Swift	y	y	 	 	 	2.0627
070318	03h14m10s -42° 58'	3'	Swift	 	y	y	 	 	0.836
070311	05h50m17s +03° 22'	2.'5	INTEGRAL	 	y	y	n	 	 
070309	17h34m45s -37° 58'	2.'5	INTEGRAL	 	y	 	 	 	 
070306	09h52m20s +10° 28'	3'	Swift	 	y	y	n	 	1.4959
070227	08h02m16s -46° 18'	3'	Swift	 	y	 	 	 	 
070224	11h55m58s -13° 20'	3'	Swift	 	y	y	n	 	1.9922
070223	10h13m49s +43° 07'	3'	Swift	 	y	y	 	 	1.6295
070220	02h19m17s +68° 49'	3'	Swift	 	y	 	 	 	 
070219	17h20m48s +69° 22'	3'	Swift	 	y	 	 	 	 
070209S	03h04m57s -47° 22'	3'	Swift	 	 	 	 	 	 
070208	13h11m41s +61° 58'	3'	Swift	 	y	y	 	 	1.165
070129	02h28m03s +11° 43'	3'	Swift	 	y	y	 	 	2.3384
070126	02h13m50s -73° 31'	3'	Swift	 	 	 	 	 	 
070125	07h51m24s +31° 08'	3'	IPN	y	y	y	y	 	1.547
070124S	14h45m32s +54° 34'	54'x1.5	IPN	y	 	 	 	 	 
070110	00h03m38s -52° 58'	3'	Swift	 	y	y	 	 	2.352
070107	10h37m38s -53° 12'	3'	Swift	y	y	y	 	 	 
070103	23h30m14s +26° 53'	3'	Swift	 	y	 	 	 	2.6208
061222B	07h01m26s -25° 51'	3'	Swift	 	y	y	n	 	3.355
061222	23h52m58s +46° 32'	3'	Swift	y	y	y	y	 	2.088
061218	09h56m53s -35° 09'	3'	Swift	 	 	 	 	 	 
061217S	10h41m46s -21° 07'	3'	Swift	 	y	 	 	 	0.827
061210S	09h38m03s +15° 38'	3'	Swift	 	y	 	n	 	0.4095
061202	07h02m34s -74° 40'	3'	Swift	 	y	 	 	 	2.2543
061201S	22h07m53s -74° 36'	3'	Swift	y	y	y	 	 	0.111
061126	05h46m30s +64° 11'	3'	Swift	y	y	y	n	 	1.1588
061122	20h15m21s +15° 31'	2.6'	INTEGRAL	y	y	y	 	 	 
061121	09h49m00s -13° 11'	3'	Swift	y	y	y	y	 	1.314
061110B	21h35m36s +06° 53'	3'	Swift	 	y	y	 	 	3.44
061110	22h25m13s -02° 16'	3'	Swift	 	y	y	 	 	0.758
061102	09h53m37s -17° 04'	3'	Swift	 	y	 	 	 	 
061028	06h28m51s +46° 16'	3'	Swift	 	y	 	n	 	 
061027	18h03m15s -82° 14'	3'	Swift	 	 	 	 	 	 
061025	20h03m39s -48° 15'	3'	INTEGRAL	 	y	y	 	 	 
061021	09h40m32s -21° 56'	3'	Swift	y	y	y	 	 	0.3463
061019	06h06m28s +29° 34'	3'	Swift	 	y	y	 	 	 
061007	03h05m16s -50° 29'	3'	Swift	y	y	y	n	 	1.261
061006S	07h24m22s -79° 12'	3'	Swift	y	y	y	 	 	0.4377
061004	06h31m00s -45° 54'	3'	Swift	 	y	 	 	 	 
061002	14h41m23s +48° 44'	3'	Swift	 	y	 	 	 	 
060930	20h17m58s -23° 38'	2'.5	INTEGRAL	 	 	 	 	 	 
060929	17h32m40s +29° 49'	3'	Swift	 	y	 	 	 	 
060928	08h30m33s -42° 13'	98'x4'	IPN	y	y	 	 	 	 
060927	21h58m13s +05° 21'	3'	Swift	 	y	y	 	 	5.47
060926	17h35m49s +13° 02'	3'	Swift	 	y	y	 	 	3.20
060923C	23h04m30s +03° 57'	3'	Swift	 	y	y	n	 	<11
060923B	15h52m48s -30° 54'	3'	Swift	 	y	 	 	 	1.5094
060923	16h58m30s +12° 23'	3'	Swift	 	y	y	n	 	<2.8
060919	18h27m39s -51° 02'	3'	Swift	 	y	 	 	 	 
060912B	18h04m57s -19° 53'	2'.5	INTEGRAL	 	 	 	 	 	 
060912	00h21m09s +20° 58'	3'	Swift	y	y	y	n	 	0.937
060908	02h07m20s +00° 22'	3'	Swift	y	y	y	n	 	1.8836
060906	02h43m00s +30° 21'	3'	Swift	 	y	y	 	 	3.686
060904B	03h52m51s -00° 43'	3'	Swift	 	y	y	 	 	0.703
060904	15h50m58s +44° 58'	3'	Swift	y	y	 	 	 	 
060901	19h08m38s -06° 38'	2'.5	INTEGRAL	y	y	y	 	 	 
060825	01h12m24s +55° 48'	3'	Swift	 	y	 	n	 	 
060814	14h45m23s +20° 35'	3'	Swift	y	y	y	 	 	1.9229
060813	07h27m28s -29° 51'	3'	Swift	y	y	 	 	 	 
060807	16h50m07s +31° 35'	3'	Swift	 	y	y	 	 	<3.4
060805B	18h10m02s +58° 09'	12'x4'	IPN	y	y	 	 	 	 
060805	14h43m41s +12° 36'	3'	Swift	 	y	 	 	 	2.3633
060804	07h28m48s -27° 14'	3'	Swift	 	y	y	 	 	 
060801S	14h12m06s +16° 59'	3'	Swift	 	y	 	 	 	1.131
060729	06h21m21s -62° 21'	3'	Swift	 	y	y	 	 	0.54
060728	01h06m46s -41° 23'	3'	Swift	 	n	 	 	 	 
060719	01h13m49s -48° 22'	3'	Swift	 	y	y	n	 	1.5320
060717S	11h23m27s +28° 57'	3'	Swift	 	y	 	 	 	 
060714	15h11m29s -06° 33'	3'	Swift	 	y	y	 	 	2.711
060712	12h16m15s +35° 34'	3'	Swift	 	y	 	 	 	 
060708	00h31m12s -33° 44'	3'	Swift	 	y	y	 	 	1.92
060707	23h48m19s -17° 55'	3'	Swift	 	y	y	n	 	3.425
060614	21h23m27s -53° 02'	3'	Swift	y	y	y	 	 	0.125
060607B	02h48m08s +14° 44'	3'	Swift	 	 	 	 	 	 
060607	21h58m51s -22° 30'	3'	Swift	 	y	y	 	 	3.0749
060605	21h28m35s -06° 04'	3'	Swift	 	y	y	n	 	3.78
060604	22h28m58s -10° 54'	3'	Swift	 	y	y	n	 	2.1357
060602	09h58m18s +00° 19'	3'	Swift	 	y	y	 	 	0.787?
060526	15h31m23s +00° 15'	3'	Swift	 	y	y	 	 	3.221
060522	21h31m48s +02° 53'	3'	Swift	 	y	y	n	 	5.11
060516	04h44m43s -18° 07'	3'	Swift	 	 	 	 	 	 
060515	08h29m09s +73° 33'	3'	Swift	 	y	 	 	 	 
060512	13h03m05s +41° 13'	3'	Swift	 	y	y	 	 	2.1
060510B	15h56m34s +78° 34'	3'	Swift	 	y	y	 	 	4.94
060510	06h23m29s -01° 10'	3'	Swift	y	y	y	 	 	 
060507	05h59m53s +75° 14'	3'	Swift	 	y	y	 	 	 
060505	22h07m04s -27° 49'	3'	Swift	 	y	y	 	 	0.089
060502BS	18h35m45s +52° 38'	3'	Swift	 	y	 	 	 	0.287?
060502	16h03m26s +66° 36'	3'	Swift	 	y	y	 	 	1.51
060501	21h53m28s +43° 59'	3'	Swift	 	y	 	 	 	 
060429	07h41m57s -24° 58'	33'x24'	IPN	y	 	 	 	 	 
060428BX	15h41m24s +62° 01'	3'	Swift	 	y	y	 	 	 
060428	08h14m16s -37° 10'	3'	Swift	 	y	y	 	 	 
060427	08h17m13s +62° 37'	3'	Swift	 	y	 	 	 	 
060424	00h29m25s +36° 49'	3'	Swift	 	 	y	 	 	 
060421	22h54m31s +62° 44'	3'	Swift	 	y	 	 	 	 
060418	15h45m41s -03° 39'	3'	Swift	y	y	y	 	 	1.489
060413	19h25m12s +13° 48'	3'	Swift	 	y	 	 	 	 
060403	18h49m13s +08° 20'	3'	Swift	 	y	 	 	 	 
060323	11h37m38s +49° 58'	3'	Swift	 	y	y	 	 	 
060322	18h16m59s -36° 42'	3'	Swift	 	y	 	 	 	 
060319	11h45m29s +59° 59'	3'	Swift	 	y	y	 	 	1.172
060313S	04h26m26s -10° 52'	3'	Swift	y	y	y	 	 	 
060312	03h03m04s +12° 49'	3'	Swift	 	y	 	 	 	 
060306	02h44m24s -02° 09'	3'	Swift	 	y	 	 	 	1.559
060223B	16h56m58s -30° 48'	3'	Swift	 	y	 	 	 	 
060223	03h40m52s -17° 08'	3'	Swift	 	y	y	 	 	4.41
060219	16h07m14s +32° 20'	3'	Swift	 	y	 	 	 	 
060218X	03h21m37s +16° 52'	3'	Swift	 	y	y	y	8674	0.0331
060213	09h26m24s -09° 09'	42x1.5'	IPN	y	 	 	 	 	 
060211B	05h00m17s +14° 57'	3'	Swift	 	y	 	 	 	 
060211	03h53m36s +21° 29'	3'	Swift	 	y	 	 	 	 
060210	03h50m55s +27° 02'	3'	Swift	 	y	y	n	 	3.91
060206	13h31m47s +35° 04'	3'	Swift	 	y	y	n	 	4.048
060204C	06h10m54s +70° 10'	3'	Swift	 	 	 	 	 	 
060204B	14h07m11s +27° 41'	3'	Swift	 	y	y	 	 	2.3393
060204	15h29m08s -39° 28'	3'	INTEGRAL	 	 	 	 	 	 
060203	06h54m03s +71° 49'	3'	Swift	 	y	y	 	 	 
060202	02h23m22s +38° 22'	3'	Swift	 	y	 	 	 	0.783
060130	15h16m54s -36° 55'	2'	INTEGRAL	 	 	 	 	 	 
060124	05h08m10s +69° 43'	3'	Swift	y	y	y	n	 	2.296
060123	11h59m00s +45° 31'	3'	Swift	 	y	 	 	 	0.56
060121S	09h09m57s +45° 40'	2.7'	HETE	y	y	y	 	 	 
060117	21h51m42s -59° 59'	3'	Swift	y	 	y	 	 	 
060116	05h38m48s -05° 27'	3'	Swift	 	y	y	y	 	 
060115	03h36m11s +17° 21'	3'	Swift	 	y	y	 	 	3.53
060114	13h01m08s -04° 44'	3'	INTEGRAL	 	 	 	 	 	 
060111B	19h05m21s +70° 22'	3'	Swift	 	y	y	 	 	 
060111	18h24m51s +37° 36'	3'	Swift	 	y	y	 	 	2.32
060110	04h50m58s +28° 23'	3'	Swift	 	y	y	 	 	 
060109	18h50m50s +31° 59'	3'	Swift	 	y	 	 	 	 
060108	09h47m58s +31° 55'	3'	Swift	 	y	y	 	 	2.0ph
060105	19h49m54s +46° 22'	3'	Swift	y	y	 	n	 	 
060102	21h55m25s -01° 51'	3'	Swift	 	 	 	 	 	 
051227S	08h21m05s +31° 56'	3'	Swift	 	y	y	 	 	0.8?
051221B	20h49m35s +53° 03'	3'	Swift	 	y	 	 	 	 
051221S	21h54m51s +16° 54'	3'	Swift	y	y	y	y	 	0.5465
051213	16h48m29s -59° 12'	3'	Swift	 	 	 	 	 	 
051211B	23h02m32s +55° 05'	3'	INTEGRAL	 	y	y	 	 	 
051211	06h56m13s +32° 41'	3'	HETE	 	 	 	 	 	 
051210S	22h00m47s -57° 38'	3'	Swift	 	y	 	 	 	 
051117B	05h40m54s -19° 15'	3'	Swift	 	y	 	 	 	0.481
051117	15h13m37s +30° 52'	3'	Swift	 	y	y	 	 	 
051114	15h05m06s +60° 09'	3'	Swift	 	n	 	n	 	 
051113	12h28m53s -26° 23'	3'	Swift	 	 	 	 	 	 
051111	23h12m38s +18° 20'	4'	Swift	 	y	y	y	 	1.55
051109BX	23h01m46s +38° 40'	4'	Swift	 	y	 	 	 	0.08?
051109	22h01m11s +40° 50'	4'	Swift	y	y	y	y	 	2.346
051105B	00h37m52s -40° 29'	2.8'	INTEGRAL	 	 	 	 	 	 
051105S	17h41m09s +34° 55'	4'	Swift	 	 	 	 	 	 
051103S	09h52m34s +68° 51'	12'x60'	IPN	y	 	 	 	 	 
051028	01h48m39s +47° 49'	19.5'	HETE	y	y	y	 	 	 
051022	23h56m00s +19° 36'	2.5'	HETE	y	y	 	y	 	0.809
051021B	08h24m09s -45° 31'	4'	Swift	 	y	 	 	 	 
051021	01h56m24s +09° 07'	7'	HETE	 	y	y	 	 	 
051016B	08h48m16s +13° 39'	4'	Swift	 	y	y	 	 	0.9364
051016	08h11m15s -18° 19'	4'	Swift	 	y	 	 	 	 
051012	18h02m15s -52° 48'	2'	Swift	 	y	 	 	 	 
051008	13h31m29s +42° 05'	4'	Swift	y	y	 	 	 	2.77
051006	07h23m19s +09° 32'	4'	Swift	 	y	y	 	 	1.059
051001	23h23m53s -31° 32'	4'	Swift	 	y	 	 	 	2.4296
050925S	20h13m47s +34° 20'	4'	Swift	 	 	 	 	 	 
050922C	21h09m34s -08° 46'	4'	Swift	y	y	y	 	 	2.198
050922B	00h23m12s -05° 36'	4'	Swift	 	y	 	 	 	4.5ph
050922X	18h04m37s -32° 01'	3.5'	INTEGRAL	 	 	 	 	 	 
050918	17h50m26s -25° 25'	2.8'	INTEGRAL	 	 	 	 	 	 
050916	09h03m58s -51° 26'	4'	Swift	 	y	 	 	 	 
050915B	14h36m23s -67° 24'	4'	Swift	 	y	y	 	 	 
050915	05h26m51s -28° 02'	4'	Swift	 	y	y	 	 	2.5273
050911S	00h54m46s -38° 52'	4'	Swift	 	 	 	 	 	 
050908	01h21m51s -12° 58'	4'	Swift	 	y	y	 	 	3.344
050906S	03h31m13s -14° 37'	4'	Swift	 	 	 	 	 	 
050904	00h54m41s +14° 08'	4'	Swift	 	y	y	y	 	6.29
050827	04h17m07s +18° 13'	4'	Swift	 	y	 	 	 	 
050826	05h50m55s -02° 41'	4'	Swift	 	y	y	 	 	0.297
050824X	00h48m57s +22° 36'	4'	Swift	 	y	y	 	 	0.83
050822X	03h24m19s -46° 01'	4'	Swift	 	y	 	 	 	1.434
050820B	09h02m14s -72° 40'	4'	Swift	 	y	 	 	 	 
050820	22h29m36s +19° 35'	4'	Swift	y	y	y	y	 	2.612
050819	23h54m56s +24° 51'	4'	Swift	 	y	 	 	 	2.5043
050815	19h34m18s +09° 10'	4'	Swift	 	y	y	 	 	 
050814	17h36m49s +46° 20'	4'	Swift	 	y	y	 	 	5.77
050813S	16h08m02s +11° 15'	4'	Swift	 	y	 	 	 	 
050807	20h12m48s -37° 22'	16'	HETE	 	 	 	 	 	 
050803	23h22m36s +05° 48'	4'	Swift	 	y	 	 	 	3.5ph
050802	14h37m09s +27° 48'	4'	Swift	 	y	y	 	 	1.71?
050801	13h36m33s -21° 57'	4'	Swift	 	y	y	 	 	1.38
050730	14h08m16s -03° 46'	4'	Swift	 	y	y	y	 	3.967
050726	13h20m12s -32° 04'	4'	Swift	 	y	 	 	 	<3.5
050724S	16h24m51s -27° 31'	4'	Swift	 	y	y	y	 	0.258
050721	16h53m47s -28° 23'	4'	Swift	 	y	y	 	 	 
050717	14h17m20s -50° 32'	4'	Swift	y	y	 	 	 	 
050716	22h34m23s +38° 42'	4'	Swift	 	y	y	 	 	 
050715	10h22m41s -00° 04'	4'	Swift	 	 	 	 	 	 
050714B	11h18m47s -15° 32'	4'	Swift	 	y	 	 	 	2.4383
050714	02h54m21s +69° 08'	2'	INTEGRAL	 	y	 	 	 	 
050713B	20h31m22s +60° 55'	4'	Swift	 	y	 	 	 	 
050713	21h22m09s +77° 04'	4'	Swift	y	y	y	 	 	<3.6
050712	05h10m46s +64° 54'	4'	Swift	 	y	y	 	 	 
050709S	23h01m30s -38° 59'	1.'3	HETE	 	y	y	 	 	0.1606
050701	15h09m09s -59° 25'	4'	Swift	 	y	 	 	 	 
050626	12h26m59s -63° 08'	2'	INTEGRAL	 	 	 	 	 	 
050607	20h00m40s +09° 08'	4'	Swift	 	y	y	 	 	 
050603	02h39m55s -25° 11'	4'	Swift	y	y	y	y	 	 
050528	23h34m07s +45° 57'	4'	Swift	 	 	 	 	 	 
050525	18h32m35s +26° 20'	4'	Swift	y	y	y	y	 	0.606
050522X	13h20m37s +24° 47'	3'	INTEGRAL	 	 	 	 	 	 
050520	12h50m02s +30° 27'	1.'5	INTEGRAL	 	y	 	 	 	 
050509CX	12h53m08s -44° 51'	9.8'	HETE	 	y	y	y	 	 
050509BS	12h36m13s +29° 00'	4'	Swift	 	y	 	 	 	0.226
050509	20h42m21s +54° 04'	4'	Swift	 	y	 	 	 	 
050507	03h12m13s -11° 04'	4'	Swift	 	 	 	 	 	 
050505	09h27m08s +30° 15'	4'	Swift	 	y	y	 	 	4.27
050504	13h24m01s +40° 40'	3'	INTEGRAL	 	y	 	 	 	 
050502B	09h30m10s +17° 00'	4'	Swift	 	y	y	 	 	5.2ph
050502	13h29m46s +42° 40'	3'	INTEGRAL	 	 	y	 	 	3.793
050422	21h37m43s +55° 47'	4'	Swift	 	y	 	 	 	 
050421	20h28m58s +73° 40'	4'	Swift	 	y	 	 	 	 
050418	02h57m22s -18° 32'	4'	Swift	 	 	 	 	 	 
050416B	08h55m25s +11° 10'	4'	Swift	 	 	 	 	 	 
050416X	12h33m55s +21° 03'	4'	Swift	 	y	y	y	 	0.6535
050412	12h04m29s -01° 15'	4'	Swift	 	y	 	 	 	 
050410	05h58m59s +79° 36'	4'	Swift	 	y	 	 	 	 
050408	12h01m55s +10° 52'	2.5'	HETE	 	y	y	 	 	1.2357
050406X	02h17m43s -50° 10'	4'	Swift	 	y	y	 	 	 
050401	16h31m31s +02° 11'	4'	Swift	y	y	y	y	 	2.90
050326	00h27m26s -71° 22'	4'	Swift	y	y	 	 	 	 
050319	10h16m38s +43° 34'	4'	Swift	 	y	y	n	 	3.240
050318	03h18m43s -46° 24'	4'	Swift	 	y	y	 	 	1.44
050315	20h25m53s -42° 35'	4'	Swift	 	y	y	y	 	1.949
050306	18h49m17s -09° 10'	4'	Swift	 	y	 	 	 	 
050223	18h05m32s -62° 30'	4'	Swift	 	y	 	 	 	0.5915
050219B	05h25m06s -57° 46'	4'	Swift	 	y	y	 	 	 
050219	11h05m38s -40° 41'	4'	Swift	 	y	 	 	 	0.211?
050215BX	11h37m48s +40° 48'	4'	Swift	 	y	y	 	 	2.62
050215	23h13m32s +49° 19'	4'	Swift	 	 	 	 	 	 
050209	08h26m09s +19° 41'	7'	HETE	 	 	 	 	 	 
050202S	19h22m18s -38° 44'	4'	Swift	 	 	 	 	 	 
050129	16h51m12s -03° 05'	3'	INTEGRAL	 	 	 	 	 	 
050128	14h38m21s -34° 46'	3'	Swift	 	y	 	 	 	<5.5
050126	18h32m27s +42° 23'	4'	Swift	 	y	y	 	 	1.29
050124	12h51m31s +13° 02'	6'	Swift	 	y	y	 	 	 
050123	10h31m34s -11° 34'	14'	HETE	 	 	 	 	 	 
050117	23h53m42s +65° 56'	4'	Swift	 	y	 	 	 	 
041228	22h26m34s +05° 03'	5'	Swift	 	 	 	 	 	 
041226	05h18m10s +73° 21'	6'	Swift	 	 	 	 	 	 
041224	03h44m48s -06° 39'	7'	Swift	 	 	 	 	 	 
041223	06h40m44s -37° 04'	7'	Swift	 	y	y	 	 	 
041220	19h25m09s +60° 37'	12'	Swift	 	 	 	 	 	 
041219C	22h55m51s -76° 48'	12'	Swift	 	 	 	 	 	 
041219B	11h10m42s -33° 27'	12'	Swift	 	 	 	 	 	 
041219	00h24m26s +62° 50'	2'	INTEGRAL	 	 	y	y	 	0.3
041218	01h39m06s +71° 20'	2'.5	INTEGRAL	 	 	y	n	 	 
041217	10h59m10s -17° 57'	12'	Swift	 	 	 	 	 	 
041211	06h43m12s +20° 24'	2'	HETE	 	 	 	 	 	 
041016	01h44m44s -04° 24'	14'	HETE	 	 	 	 	 	 
041015	00h18m37s +66° 52'	2.7'	INTEGRAL	 	 	 	 	 	 
041006	00h54m53s +01° 12'	5'	HETE	 	y	y	 	 	0.716
040924	02h06m19s +16° 01'	6'	HETE	y	 	y	n	 	0.859
040916X	23h01m30s -05° 35'	17'	HETE	 	 	y	 	 	 
040912X	23h56m54s -01° 00'	7'	HETE	 	y	 	n	 	1.563
040903X	18h03m22s -25° 15'	2'.5	INTEGRAL	 	 	 	 	 	 
040827	15h16m59s -16° 08'	3'	INTEGRAL	 	y	y	 	 	 
040825BX	22h46m34s -02° 24'	9'	HETE	 	 	 	 	 	 
040825	22h58m59s -10° 56'	7'	HETE	 	 	 	 	 	 
040812X	16h26m05s -44° 43'	2'	INTEGRAL	 	y	y	 	 	 
040810	23h54m08s -35° 04'	30'	HETE	y	 	 	 	 	 
040802	18h47m24s -44° 29'	22'x330'	HETE	y	 	 	 	 	 
040730	15h53m16s -56° 27'	2'	INTEGRAL	 	 	 	 	 	 
